False Positive Rate,True Positive Rate
0,0
0,0.010416667
0,0.354166667
0.00862069,0.354166667
0.00862069,0.40625
0.017241379,0.40625
0.017241379,0.541666667
0.043103448,0.541666667
0.043103448,0.635416667
0.051724138,0.635416667
0.051724138,0.666666667
0.060344828,0.666666667
0.060344828,0.708333333
0.077586207,0.708333333
0.077586207,0.71875
0.094827586,0.71875
0.094827586,0.729166667
0.103448276,0.729166667
0.103448276,0.75
0.112068966,0.75
0.112068966,0.78125
0.129310345,0.78125
0.129310345,0.802083333
0.137931034,0.802083333
0.137931034,0.8125
0.146551724,0.8125
0.146551724,0.875
0.155172414,0.875
0.155172414,0.885416667
0.206896552,0.885416667
0.206896552,0.895833333
0.25,0.895833333
0.25,0.90625
0.25862069,0.90625
0.25862069,0.916666667
0.267241379,0.916666667
0.267241379,0.9375
0.387931034,0.9375
0.387931034,0.947916667
0.439655172,0.947916667
0.439655172,0.958333333
0.474137931,0.958333333
0.474137931,0.96875
0.603448276,0.96875
0.603448276,0.979166667
0.629310345,0.979166667
0.629310345,0.989583333
0.801724138,0.989583333
0.801724138,1
1,1
